,id_tei,lcnaf_uri,organization_name,other_names,date_founded,date_dissolved,associated_places,org_type,bio_notes,data_notes,see_also,citations,notes
,meetngard,,New Garden Friends meeting,,1715,,,Local meeting,"Worship began in 1713. New Garden Preparative Meeting was established in 1715 in Toughkenamon, Pennsylvania from Kennett (Newark) Monthly Meeting. New Garden Monthly Meeting was established 1718.",,,quakermeetings.com,
,nyhis,,New York Historical Society,,1804,,,review,Founded in 1804 as New York City's first museum.,,,https://en.wikipedia.org/wiki/New-York_Historical_Society,
,nyman,,New York Manumission Society,,1785,,,review,"Founded in 1785, the New York Manumission Society was an early abolitionist group that worked to end slavery in New York as well as assist both free and enslaved blacks. Its members were all white (some slaveholders) and included famous men like John Jay, Alexander Hamilton, and Noah Webster, and was partially funded by the New York State Legislature. In 1787 the Society opened the African Free School, which accommodated 40 boys and girls. In 1820 it built a larger school that taught 500 students. In 1791 it petitioned US Congress to limit US slave trade, which failed. Undeterred, in 1794 the Society organized the American Convention for Promoting the Abolition of Slavery and Improving the Condition of the African Race, which met in Philadelphia. Its efforts finally met some wide success when the state legislature passed the Manumission Act in 1799 and another in 1817, both of which gradually manumitted slaves.",,,https://www.britannica.com/topic/New-York-Manumission-Society; https://www.nyhistory.org/web/africanfreeschool/history/manumission-society.html,
,nysav,,New York Savings Bank,,1854,,,review,"An offshoot of the Society for the Prevention of Pauperism, the New York Savings Bank was another philanthropic project operating along the lines of the Friends’ self-help ethic. Friends shared leadership with prominent non-Quaker business associates. Originally chartered as the Rose Hill Savings Bank at the corner of 14th Street and Eighth Avenue in 1854, in 1862 changed its name to “New York Savings Bank.” ",,,Quaker Crosscurrents (Babour) ; http://jonreeve.com/dev/gvh3/exhibits/show/gv_banking/architecture/nysb ; http://www.waymarking.com/waymarks/WM8BWH_New_York_Savings_Bank_New_York_New_York,
,nystate,,New York State,New York Colony,,,,Government,"Originally home to both Algonquian and Iroquian peoples for thousands of years. Its first European inhabitants were the Dutch, who established New Amsterdam in 1625 for mostly trading purposes. Several skirmishes with the English until 1669, by which time the latter gained official control the colony in exchange for a lenient treaty. The colony remained a major port and hub for the fur trade, and its settlers frequently interacted with the area's tribes. Rivalry with the French in Canada led to the Seven Years’ War, during which the Iroquois were allies. War concluded by the Treaty of Paris (1763), which solidified British authority in the area. The border now secure from French aggression, German and New England settlers began moving into the countryside. New York was also a significant location for the Revolutionary War. It was one of the last states to ratify the US Constitution (1787), around which time its were also finalized. Following this and the War of 1812, the state government encouraged westward expansion through both building transporation projects like turnpikes and the Erie Canal (1825), and making treaties with Native American tribes that appropriated land for settler habitation. Most tribes were then limited to semiautonomous reservations, or relocated to either Canada or out west.",review,dutch,https://en.wikipedia.org/wiki/History_of_New_York; https://www.britannica.com/place/New-York-state/Government-and-society,
,nysen,,New York State Senate,,,,,Government,"One of two houses in the lawmaking branch of the New York State government, the Senate worked closely with the State Assembly and Governor. Along with the Assembly it drafted new laws within the limits of the federal constitution, but it alone retained the right to confirm the Governor’s appointment of state officials. In 1790 the first reapportionment acts passed after census results reveal increased western population. In 1797 Albany was finally chosen as the State Capital. ",,,https://www.nysenate.gov/about; https://www.nysenate.gov/timeline,
,nym,,New York Yearly meeting of Friends,,1696,,,Yearly meeting,"New York Yearly Meeting was first held in 1696 as the Yearly Meeting at Flushing or Long Island, consisting essentially of the Flushing Quarterly Meeting that was set off from New England Yearly Meeting.",,,https://quakermeetings.com/Plone/yearlymeetings,
,nymindian,,New York Yearly Meeting of Friends. Indian Committee,,,,,Yearly meeting,"Established in 1795. New York Yearly Meeting was initially concerned with the Brotherton, Stockbridge and Oneida in central New York until those groups largely migrated west before 1820, and to a lesser extent with the Onondaga Indians. Work with the Haudenosaunee in western New York, largely Seneca was largely carried out by New York Yearly Meeting.  In response to the Buffalo Creek Treaty of 1838, which treatened the loss of the remaining Haudenosaunee lands in New York, New York Yearly Meeting (Hicksite) joined with Baltimore, Genesee and Philadelphia to anul the 1838 treaty, but finally advised the Indians to accept the ""Compromise Treaty"" of 1838, by which the Seneca lost the reservations at Tonawanda and Buffalo Creek, but retained Alleghany and Cattaraugus. ",,, http://www.nyym.org/?q=Handbook2013-IndianAffairs;http://www.swarthmore.edu/library/friends/New YorkYM/New Yorky600_799.xml#series10,
,meetny,,New York Friends meeting,Rose Street Friends meeting;Hester Street Friends meeting;Esther Street Friends meeting,1671,,,Local meeting,"Friends in New York City built a meeting house at Queen Street (Pearl) between 1774-76. Rose Street Meeting house was constructed in 1823 and 1824. The original Preparative Meeting for New York, called Eastern District after 1806 and Southern District from 1824 until 1881, met at Pearl Street until 1824, Rose Street until 1856, then at Hester Street until 1861. A monthly meeting was established for ""New Yorke and Gravesend"" in 1671 and met quarterly until 1684. The meeting for business was held at Flushing from 1695 until 1742, then at Flushing and Newton (New Town) until 1768, and then alternately at Flushing, Newtown, and New York (City) until 1780. The name was finally changed to New York Monthly meeting in 1795. ",,nyym;meetrsp;estpm,quakermeetings.com;Quaker Crosscurrents (Barbour),
,meetnewp,,Newport Friends meeting,,1676,,,Local meeting,"Since its foundation, the religion-tolerant colony of Rhode Island was home to a sizeable Quaker population. Nicholas Easton, its onetime governor and fellow Quaker, bequeathed his house to the Newport Friends in 1676. They constructed a new meetinghouse in 1699, and expanded in 1705 and 1729 to accommodate the women’s meeting. Newport’s Quaker population dwindled after the Revolutionary War. ",,neym,"http://www.newporthistory.org/properties/great-friends-meeting-house/
http://www.newenglandtravelplanner.com/go/ri/newport/sights/quaker_mtnghse.html",
,meetnewto,,Newtown Friends meeting,,1702,,,Local meeting,"A monthly meeting known as ""Newton"" was established by 1686 under Salem Quarterly Meeting of Friends. The monthly meeting may have come into existence as early as 1682 at the division of the short-lived monthly meeting for Pine Point and Shackamaxon. In 1794, the meeting was transferred to Haddonfield Quarterly Meeting of Friends.",,pym,quakermeetings.com ; http://trilogy.brynmawr.edu/speccoll/mm/haddomm.xml,
,meetnp,,Nine Partners Friends meeting,,1744,,,Local meeting,Nine Partners Preparative Meeting was established in 1744 from Oblong Monthly Meeting. Nine Partners Monthly Meeting was set off in 1769.,,nyym,quakermeetings.com,
,ninepsch,,Nine Partners School,,1795,,,School,"The New York Yearly Meeting boarding school, founded in 1795, was located in Dutchess County, New York. ",,nyym,"McGonegal, Esther L. S. ""NINE PennsylvaniaRTNERS BOARDING SCHOOL (1796-1863)."" Bulletin of Friends' Historical Society of Philadelphia 10.1 (1920): 11-15. Web.; http://oakwoodfriendsschoolhistory.weebly.com/nine-partners-school.html ",
,ncym,,North Carolina Yearly Meeting of Friends,,1698,,,Yearly Meeting,North Carolina Yearly Meeting began in 1698 after the establishment of the Quarterly Meeting for Pasquotank and Perquimans Counties in 1680.,,,,
,ncgen,,North Carolina General Assembly,,1777,,,Government,"The state legislature of North Carolina. A bicameral institution composed of both Senate and House of Representatives, both of which draft laws for the state. It first convened in 1777. After Nat Turner’s slave Rebellion in 1831, the legislature passed laws that restricted the rights of slaves and free black people, forbidding them from attending school, preaching in public, or bearing arms. In 1835, the state constitution was amended to have the governor elected directly by the people, with all other officials elected by the state legislature.  ",,,https://en.wikipedia.org/wiki/North_Carolina_General_Assembly,
,ncym,,North Carolina Yearly Meeting,,1698,,,Yearly meeting,North Carolina Yearly Meeting opened in 1698 as an outgrowth of the Quarterly Meeting of Friends for Pasquotank and Perquimans Counties which had begun meeting by 1680.,,,https://quakermeetings.com/Plone/yearlymeetings,
,normis,,Northern Missionary Society,,,,,Religous group,"The Northern Missionary Society was an offshoot of the Church of Scotland lasting from 1800-1843. The majority of its activities seems to be supporting other missionary societies. It worked in the Scottish Highlands, and supported missions to the Jews, to Highland exiles in the British colonies, and to Irish Catholics. After 1831, the Society also supported the Church of Scotland Indian Mission. ",,, http://malcolm-somethingtosay.blogspot.com/2013/12/northern-missionary-society.html,
,meetnotth,,Nottingham Friends meeting,East Nottingham Friends meeting,1715,,,Local meeting,"East Nottingham Preparative Meeting was established before 1715 first under Concord Monthly Meeting, then under Kennett (Newark) Monthly Meeting 1715-1718, then later under New Garden Monthly Meeting. Nottingham Monthly Meeting was established in 1730. The meeting was called East Nottingham informally until some time before 1758.",,pym,quakermeetings.com,
,meetoblon,,Oblong  Friends meeting,Oblong and Nine Partners,1742,,,Local meeting,"Oblong Preparative Meeting was established in Pawling, New York by Purchase Monthly Meeting in 1742. New York Yearly Meeting set it off as a monthly meeting in 1744. The meeting was called Oblong & Nine Partners until 1769, when it became Oblong Meeting.",,nyym,quakermeetings.com,
,ogden,,Ogden Land Company,,,,,review,"The Ogden Land Company was founded by former Holland Land Company attorney David A. Ogden. Along with US Government representatives, it participated in the controversial Buffalo Creek Treaties. The first, in 1838, had the Seneca sell their four remaining reservations at Allegany, Cattaraugus, Tonawanda, and Buffalo Creek to the Company in exchange for territory in Wisconsin and Kansas. The Seneca resisted, but despite allegations of fraud on part of the Company’s negotiators, the treaty was pushed through Congress. In 1842, another treaty returned the Allegany and Tonawanda Reservations, and in 1857 the Tonawanda were allowed to repurchase parts of their land from the Ogden Company.",,,Encyclopedia of the Haudenosaunee; https://en.wikipedia.org/wiki/Treaties_of_Buffalo_Creek,
,oym,,Ohio Yearly Meeting of Friends,,1813,,,Yearly meeting,"Ohio Yearly Meeting was set off from Baltimore Yearly Meeting in 1813 to include meetings in south-western Pennsylvania, and eastern Ohio.",,,https://quakermeetings.com/Plone/yearlymeetings,
,oymindian,,Ohio Yearly Meeting of Friends. Indian Committee,,,,,Yearly meeting committee,"The body appointed by the Ohio Yearly Committee to address Indian concerns, particularly education and legislative difficulties. Throughout the 1820s, it developed facilities in the town of Wapakoneta to teach Indians agricultural and reading skills that would help them protect land claims in Ohio. Most Indians were pressured to move west following passage of the Indian Removal Act in 1830. ",,,"http://www.quaker-chronicle.info/pdfs/pp26-27.pdf
http://www.quaker-chronicle.info/pdfs/pp60-61.pdf
http://www.ohiohistorycentral.org/w/Wapakoneta,_Ohio",
,ojibwe,http://id.loc.gov/authorities/subjects/sh85024423,Ojibwa indians,Ojibwe;Algic;Anishinabe;Bawichtigoutek;Bungee;Bungi;Chipouais;Chippewa;Lac Courte Oreilles;Ochepwa;Odjibway;Ojebwa;Ojibua;Ojibwauk;Ojibway;Ojibwe;Otchilpwe;Otchipwe;Salteaux;Saulteaux,,,,Indian group,"Also known as Ojibwe, Chippewa, and Saulteurs. Speakers of Anishinaabe, a subset of the Algonquian language, the Ojibwe were historically located at the mouth of Lake Superior and along the Mississagi River. By the end of 18th century, they controlled most of Michigan, the Red River area, and northern Wisconsin, as well as northern parts of Lakes Huron and Superior. They frequently fought against the Iriquois. In 1807 they signed the Treaty of Detroit, ceding rights to Southeastern Michigan and parts of Ohio in exchange for small pockets of land in their homeland. The Ojibwa  fought against the United States in the War of 1812, after which the United States tried to relocate them. The Ojibwa resisted. Tensions lasted for a long time and did not necessarily erupt into war, as the Sandy Lake Tragedy of 1850 resulted in deaths of several hundred Chippewa who had been forced to wait out winter at Sandy Lake, Minnesota, for delayed annuity payments.  Eventually, the bands east of Mississippi were allowed to remain. ",,,https://en.wikipedia.org/wiki/Ojibwe,
,meetoldn,,Old-neck Friends meeting,,1680,,,Local meeting,"Established by 1680 in Perquimans County, North Carolina, where meetings congregated in several houses. In 1698 the first Yearly Meeting was held, and by 1705 a distinct building for worship was built. This was commonly referred to as “Old Neck” by the mid-1700s. The Yearly Meeting for groups in South Carolina, North Carolina, Georgia, were held here between 1698 and 1785. The Old Neck building was destroyed in 1786 by strong winds, and due to declining numbers occasioned by westward migration, its meeting was laid down in 1797.",,ncym, https://www.stoppingpoints.com/north-carolina/sights.cgi?marker=Old+Neck+Friends+Meeting&cnty=Perquimans,
,oneida,http://id.loc.gov/authorities/subjects/sh85094780,Oneida Indians,Oneota;Onneiout,,,,Indian group,"Variants Oneota, Onneiout. “People of the Upright Stone.” One of the five original members of the powerful Haudenosaunee (Iroquois Confederacy), they were historically located in upstate New York, with Mohawk allies eastward and Onondaga allies westward. Between 1660-1690, the Iroquois populations were much reduced by diseases. Jesuits began preaching among them. Unlike other Iroquois, the Oneidas supported the Americans in the Revolutionary War, in which they fed Washington’s troops at Valley Forge (1777), fought in the Battle of Oriskany (1777), and participated in the infamous scorched earth campaign of John Sullivan (1779), which finally shattered the Iroquois League. Regardless of their service, the treaties of 1785 and 1788 drastically reduced Oneida Territory, with some moving up the Thames River in Canada, others to Green Bay, Wisconsin (1821). ",,sxntns,Encyclopedia of the Haudenosaunee,
,onondaga,http://id.loc.gov/authorities/subjects/sh85094815,Onondaga indians,Onondagoe;Onondago;Gannentaha,,,,Indian group,"Also known as Onondagoe, Onondago, Gannentaha or “People of the Hills.” One of the five original members of the Haudenosaunee (Iroquois Confederacy), the Onondaga’s location as the centermost member of the Confederacy enabled them to act as its exeutives and provided the setting for grand intertribal councils. Their historical territory is south of Lake Ontario near present-day Onondaga County, New York. After an American attack on their main village in 1779, the Onondaga shed their neutrality in favor of the British and fought up to the end of the Revolutionary War. Many then followed the Mohawk leader Joseph Brant to Upper Canada, partially inducing the US Government (fearful of a Pan-Indian alliance) to notarize the Treat of Canandaigua in 1794, which acknowledged Haudenosaunee rights to some portions of their homelands. ",,sxntns,Encyclopedia of the Haudenosaunee ; https://en.wikipedia.org/wiki/Onondaga_people ; https://en.wikipedia.org/wiki/Treaty_of_Canandaigua,
,osage,http://id.loc.gov/authorities/subjects/sh85095861,Osage indians,Wazhazhe,,,,Indian group,"Autonym Wazhazhe. Historically located in the Midwestern Great Plains and first documented on banks of Osage River in western Missouri, the Degighan Siouan-speaking Osage controlled much of Missuori, Arkansas, Oklahoma, and Kansas, where they were reknowned for their size and prowess as warriors. They often traded with the fur traders based in Fort Carondelet as well as the Chouteau family. The Osage were later struck by a smallpox epidemic in 1801-1802, and by 1808, some had moved to western Missouri and others to the Three Forks area of Oklahoma. When Cherokee and Choctaw moved west due to settler pressure, they infringed on Osage territory and sparked some battles--a particular example being the bloody Battle of Claremore Mound (1817), after which the Osage ceded their eastern Arkansas territories to the US Government, which were then given to the Cherokee. In 1825 the Osage signed another land cession treaty, after which they moved to a southeastern Kansas reservation land and recieved multiple protestant missionaries. ",,,https://en.wikipedia.org/wiki/Osage_Nation,
,meetosweg,,Oswego Friends meeting,Swago,1750,,,Local meeting,Worship at Oswego began in 1750. Oswego Preparative Meeting was established 1758 under Nine Partners Monthly Meeting. Oswego Monthly Meeting was set off in 1799. ,,nyym,quakermeetings.com,
,ottawa,http://id.loc.gov/authorities/subjects/sh85096087,Ottawa indians,Odawa;Outaouak;Tawa;Odaawaa,,,,Indian group,"Also known as Odawa, Odaawaa, Outouaak, Tawa, meaning “Trader.” An Algonquian-speaking people historically located along Lake Huron, the Ottawa River, and throughout northern Michigan and Ohio. The Odawa trade network was so extensive that early fur traders would refer to any Algonquian-speaking tribe as “Ottawa.” After depopulation following the Beaver Wars and disease epidemics, many relocated to an area near the French-operated Fort Detroit (1701). They fought against the British in the French and Indian War, but after the defeat of the French, the Ottawan Chief Pontiac led a famous rebellion in 1763. A decade later, Chief Egushawa fought on the side of the British in Revolutionary War, which resulted in pressure from the US government to cede land. In response, the Ottawa participated in the Northwest Indian War (1785-1795), which culiminated in the Battle of Fallen Timbers. Over the course of the 1795 Treaty of Greenville, the 1807 Treaty of Detroit, and the 1817 treaty, most of the Ottawa’s Ohio and Michigan territories were ceded. The Indian Removal Act of 1830 delivered the final blow, after which a majority of Ottawa removed to northeastern Kansas. Following the Civil War, some of these then moved to Oklahoma. ",,,http://www.ohiohistorycentral.org/w/Ottawa_Indians?rec=614 ; https://en.wikipedia.org/wiki/Odawa,
,pagan,,Pagan Party,,,,,Religious group,"A traditionalist movement that developed among the Iroquois in the late 18th century and after Handsome Lake’s death in 1812. Its rivalry with the Christian Party concerned political as well as religious issues, and was ultimately organized around the questions of cultural assimilation and the tribe's future in the post-Revolutionary world. The Pagan Party favored traditional cultural practices and the old religion, and though it eventually coalesced around the Code of Handsome Lake, for a while the Party rejected it on the grounds of being too Christian. The Pagan Party was especially prevalent among the Seneca and Onondaga.",,oneida;seneca;onondaga,"The Great Law and the Longhouse, by William Fenton;
Handbook of the North American Indians;
https://www.mpm.edu/wirp/ICW-156.html",
,pamun,,Pamunkey Indians,,,,,Indian group,"An Algonquian-speaking tribe based around the Pamunkey and James Rivers in eastern Virginia. As members of the Powhatan Confederacy, they regularly interacted with Europeans after the establishment of Jamestown in 1607. In response to colonial encroachment, the Pamunkey chief Opechancanough led Confederacy attacks in 1622 and 1644 on British settlements, after which a 1646 treaty established land boundaries and created the first reservation. Following Bacon’s Rebellion—during which the Pamunkey fought as allies of the colonial government—they signed the Treaty of Middle Plantation in 1677, establishing more reservation lands but at the cost of subservience to the English Crown. They retained the same reservation lands up to the present day, and have reportedly made every tribute legally required. ",,,https://en.wikipedia.org/wiki/Pamunkey,
,pawnee,http://id.loc.gov/authorities/subjects/sh85098887,Pawnee indians,Punins,,,,Indian group,"Also known as Punins, Pani. A Caddoan-speaking Midwestern tribe with historical territory in the Great Plains regions of Platte River, Nebraska and Central Kansas. They encountered but did not really interact with Europeans until the 17 and 18th centuries, thus preserving their population from disease until the 1830s, around which time they were pressured by incoming Siouan and American settlers to cede land through multiple treaties. The Pawnee then settled on a reservation along the Nebraskan Loup River in 1857.",,,https://en.wikipedia.org/wiki/Pawnee_people ; http://www.britannica.com/topic/Pawnee-people,
,meetpeach,,Peach Pond Friends meeting,,1779,,,Local meeting,Peach Pond Preparative Meeting was part of Oblong Monthly Meeting from 1779 until 1792.,,nyym,quakermeetings.com,
,meetpelh,,Pelham Friends meeting,,1799,,,Local meeting,"Friends from the United States migrated to Upper Canada after the American Revolution.  The earliest meetings at Pelham and Black Creek on the Niagara Penninsula were had no official recognition until 1799 when they became a distant part of Philadelphia Yearly Meeting. In 1810, these meetings were transferred to Canada Half Yearly Meeting, a part of New York Yearly Meeting. ",,nyym,quakermeetings.com,
,meetpemb,,Pembroke Friends meeting,,1706,,,Local meeting,"The Scituate Meeting built a Meetinghouse in 1706 in what would become, in 1712, the separate township of Pembroke, Massachusetts.",,neym,"https://en.wikipedia.org/wiki/Pembroke_Friends_Meetinghouse
 http://archive.boston.com/news/local/massachusetts/2013/03/20/local-quaker-group-revives-pembroke-tradition/frsPqqrMLGRNUMBvMonthly MeetinglyyL/story.html
",
,penngov,,Pennsylvania Government,,1682,,,Government,"Founded by William Penn as a proprietary colony in 1682, Pennsylvania was intended to be a province based on the Quaker principles and humanitarian values expressed in Penn’s “frames of government” constitution. Early in its history the colony provided a haven of religious toleration and developed friendly relations with local Indians. It was run by a General Assembly, Deputy Governors, and up until the Revolution, the joint proprietors and governors of Penn’s family. Penn’s heirs eventually abandoned Quakerism and came into frequent conflict with the Quaker-majority Assembly, committing acts like the infamous Walking Purchase (1737) to gain territory at the expense of Lenape goodwill. Pennsylvania expanded further northwest after the successful conclusion of the Seven Years’ War. During the Revolution, it hosted the first and second Continental Congresses and was the site of several iconic battles. Governed by an executive council from 1777 until 1790, the year it ratified a new state constitution. Pennsylvanian delegates ratified US Constitution in 1787. Through the Treaties of Fort Stanwix, the Iroquois surrendered landclaims to northwestern and southwestern Pennsylvania to the state government. Its border with New York was finalized 1787, and after passing a general land act in 1792, unlocked the Alleghany Mountain area for land speculation.",,,https://en.wikipedia.org/wiki/History_of_Pennsylvania;http://www.phmc.state.pa.us/portal/communities/pa-history/1681-1776.html,
,meetpenob,,Penobscot Friends meeting,,,,,Local meeting,"Joshua Evans held a small meeting near Pleasant River for the benefit of curious Maine residents in 1795. A couple days later, he held another at Penobscot.",,,,
,peoria,http://id.loc.gov/authorities/subjects/sh85099660,Peoria indians,,,,,Indian group,"A people who spoke the Miami-Illinois variant of the Algonquian-language, the Peoria were historically located in Illinois before a 1763 migration southwest into Missouri. In 1818 they signed the Treaty of Edwardsville, thus ceding their Illinois lands, while in 1832 the Treaty of Lewisville exchanged their Missouri lands for Kansas territory near the Osage River. ",,,http://peoriatribe.com/history/ ; https://en.wikipedia.org/wiki/Peoria_tribe,
,pym,,Philadelphia Yearly Meeting of Friends,,1681,,,Yearly Meeting,"Philadelphia Yearly Meeting opened at Burlington, New Jersey in 1681 and first met for discipline at Philadelphia in 1683. Friends agreed to meet jointly and alternately as a yearly meeting on either side of the Delaware River in 1685. The Yearly Meeting began to meet only at Philadelphia after 1745; in 1790 transferred Fairfax and Warrington Quarterly Meeting of Friendss to Baltimore Yearly Meeting and accepted the transfer of Baltimore Yearly Meeting's Eastern Shore Quarterly Meeting of Friends as its new Southern Quarterly Meeting of Friends, and transferred Nottingham Quarterly Meeting of Friends to Baltimore Yearly Meeting in 1819. ",,,https://quakermeetings.com/Plone/yearlymeetings,
,pymind,,Philadelphia Yearly Meeting of Friends. Indian Committee,,1795,,,Yearly Meeting committee,"In reaction to the French and Indian War (1754-1763), Philadelphia area Friends formed the “Friendly Association for Regaining and Preserving Peace with the Indians by Pacific Measures."" This was dissolved at the end of the war, but its tradition continued with the formation of the Indian Committee in 1795. This body worked to educate Indians, lobby for their interests in legislation, and prevent fraud. Their activities were primarily among the Allegany and Cattaraugus Seneca in New York, as well as those inhabiting the Cornplanter tract that bordered New York and Pennsylvania. In 1852, the Committee built a school near the Allegany Reservation. ",,,http://trilogy.brynmawr.edu/speccoll/hv/pymindian.xml,
,pymwom,,Philadelphia Yearly Meeting of Women Friends,,,,,Yearly meeting,"Philadelphia Yearly Meeting opened at Burlington, New Jersey in 1681 and first met for discipline at Philadelphia in 1683. Friends agreed to meet jointly and alternately as a yearly meeting on either side of the Delaware River in 1685. The Yearly Meeting began to meet only at Philadelphia after 1745; in 1790 transferred Fairfax and Warrington Quarterly Meeting of Friendss to Baltimore Yearly Meeting and accepted the transfer of Baltimore Yearly Meeting's Eastern Shore Quarterly Meeting of Friends as its new Southern Quarterly Meeting of Friends, and transferred Nottingham Quarterly Meeting of Friends to Baltimore Yearly Meeting in 1819. ",,,,
,pymsufferings,,Philadelphia Yearly Meeting of Friends. Meeting for Sufferings. ,,,,,Yearly meeting,A meeting for worship in the 12th Street meeting house was established in 1813 by Philadelphia Quarterly Meeting under the Monthly Meeting of Friends of Philadelphia. The meeting was transferred to Philadelphia Monthly Meeting for the Western District in 1814. A preparative meeting was established in 1814.,,,http://library.haverford.edu/file-id-1092,
,pqm,,Philadelphia Quarterly Meeting of Friends,,,,,Quarterly meeting,The Philadelphia Quarterly Meeting of Friends began holding business sessions in 1683.,,pym,http://trilogy.brynmawr.edu/speccoll/mm/philaqm.xml,
,meetnord,,"Philadelphia Friends meeting, Northern District",Bank Street Friends meeting;Keys Alley Friends meeting,1684,1791,,Local meeting,"The first Bank meeting house was located in Philadelphia on the west side of Front Street, north of Arch, and was built in 1684. The second structure on the site was built in 1702 and was used until 1791 when the meeting moved to a meeting house on Key's Alley. After Northern District was set off in 1772 it met at Bank Street until the move to Keys Alley.",,pym,Quaker Landmarks in Early Philadelphia by Edwin W. Bronner (1953),
,meetmid,,"Philadelphia Friends meeting, Middle District",Market-street Friends meeting;Mulberry Street Friends meeting,,,,Local meeting,Construction of the Great Meeting House was begun in 1696 on the southwest corner of Second and Market Streets in Philadelphia. A second building was erected on the site in 1755. It was the center of Quaker activity in the region until the Meeting House on Mulberry Street was built in 1804. Mulberry Street hosted both the Middle District Monthly Meetings as well as the Philadelphia Yearly Meeting. It was also built on top of the city’s first Quaker burial ground. In 1854 Mulberry Street was renamed Arch Street. ,"This entry refers not only to the meeting houses in which the Middle District Monthly Meetings were held, but also to the business sessions themselves.",pym,Quaker Landmarks in Early Philadelphia by Edwin W. Bronner (1953),
,pinsm,,"Philadelphia Friends meeting, Southern District ",Pine Street Friends meeting,,,,Local meeting,"A meeting house on Pine Street or Hill in Philadelphia was built in 1753. Pine Street Preparative Meeting was established 1772 from Philadelphia Monthly Meeting. Southern District Monthly Meeting was established the same year. Officially called Philadelphia, Southern District Meeting but informally called Pine Street Meeting until 1832 when the Orange Street meeting house was built.",,,quakermeetings.com,
,meetphila,,Philadelphia Friends meeting,,,,,Local meeting,"In 1682-1683, a monthly meeting was established in Philadelphia. Northern District and Southern District Monthly Meetings were set off in 1772, and Western District and Green Street Meetings in 1814. After the Separation of 1827-28, the Orthodox branch retained control of the meeting houses at Arch Street and 12th Street. The Hicksite branch met on Cherry Street and later Race Street. Both monthly meetings were named Philadelphia Monthly Meeting.",This TEI id is used to identify individuals who were members of any Philadelphia meeting.,,http://trilogy.brynmawr.edu/speccoll/mm/philaomm.xml,
,meetwestd,,"Philadelphia Friends meeting, Western District",Twelfth Street Friends meeting,1812,,,Local meeting,A meeting for worship in the 12th Street meeting house was established in 1813 by Philadelphia Quarterly Meeting under the Monthly Meeting of Friends of Philadelphia. The meeting was transferred to Philadelphia Monthly Meeting for the Western District in 1814. A preparative meeting was established in 1814.,,pym,http://trilogy.brynmawr.edu/speccoll/mm/philawdpm.xml; http://trilogy.brynmawr.edu/speccoll/mm/philawdmm.xml,
,meetsprst,,"Philadelphia Friends meeting, Spruce Street",Spruce Street Friends meeting,1833,,,Local meeting,The Spruce Street Monthly Meeting was a Hicksite meeting established in 1833 out of the Monthly Meeting of Friends of Philadelphia. The meeting house was located on Spruce Street near 9th.,,pym,http://trilogy.brynmawr.edu/speccoll/mm/sprucmm.xml,
done,piank,http://id.loc.gov/authorities/subjects/sh85101721,Piankeshaw indians,Piankesha;Piankashaw;Pisinkashaw;Piantia Indians;Peankshaws,,,,Indian group,"An Algonquian-speaking subtribe of the Miami, the Piankeshaw were historically located in western Illinois, Indiana, and parts of Ohio, particularly along the banks of the Vermilion, White, and Wabash Rivers. After ceding their Illinois and Indiana lands in 1805, they began to spread south and west from the St. Louis area in Missouri, and relocated again in 1832 to a Wea reservation in Kansas. In 1854 they joined with the closely-related Kaskaskia, Wea, and Peoria tribes to form the Confederated Peoria, with whom they gained a northeastern Oklahoma reservation in 1867. ",on the Ouabache,,http://www.okhistory.org/publications/enc/entry.php?entry=PI001 ; https://en.wikipedia.org/wiki/Piankeshaw,
,meetpiles,,Pilesgrove  Friends meeting,,1735,,,Local meeting,"Pilesgrove Preparative Meeting was established in Woodstown, New Jersey, in 1735, set off from Salem Monthly Meeting. Pilesgrove Monthly Meeting was established in 1794.",,pym,quakermeetings.com,
,meetpiney,,Piney woods Friends meeting,,1682,,,Local meeting,"Worship began in Belvidere, North Carolina about 1679, and a monthly meeting was established in 1682. This Meeting was called Wells Monthly Meeting and Perquimans Monthly Meeting alternatively until 1794, then known as Piney Woods Monthly Meeting. Piney Woods Preparative Meeting was established in 1743.",,ncym,quakermeetings.com,
,meetpipec,,Pipe Creek Friends meeting,,,,,Local meeting,"Worship at Pipe Creek in Maryland started in 1736, and a preparative meeting was established in 1759. The Pipe Creek Monthly Meeting was set off in 1772, alternating between Bush Creek and Pipe Creek. ",,bym,http://trilogy.brynmawr.edu/speccoll/bym/pipcrmm.xml,
,piscaind,,Piscataway Indians,Conoy;Coney,,,,Indian group,"The principal tribe of the Conoy or Coney group, an Algonquian-speaking people residing in the Chesapeake Bay region, particularly Maryland. The Conoy participated in Indian Massacre of 1622. In 1666, 1692, and 1700 they signed treaties that guaranteed reservation and hunting/fishing rights by the Maryland colonial government, although some fled in 1680 to Zachiah Swamp, where they were besieged by Iroqiois until an eventual peace settlement. In 1697 around 300 Conoys left southern Maryland and briefly lived at the Bull Run Mountains before finally moving to Harrison Island on the Potomac River. They also migrated further up to Conoy (now Heater’s) Island, which was struck by disease in 1704. The Piscataway lived at Conejoho and Conoy Town on the Susquehanna River around 1743, although some lived with Nanticokes at the mouth of the Juniata River. After siding with the English in the Revolutionary War, many moved to Niagara, and some west to the Delawares. A few remained on their traditional Maryland homelands, but due to their small population count, lost political independence. ",,,Handbook of the North American Indians ; https://en.wikipedia.org/wiki/Piscataway_tribe,
